id,title,author,genre,publisher,library_id
1,Fundamentals of Wavelets,"Goswami, Jaideva",signal_processing,Wiley,1
2,Data Smart,"Foreman, John",data_science,Wiley,2
3,God Created the Integers,"Hawking, Stephen",mathematics,Penguin,4
4,Superfreakonomics,"Dubner, Stephen",economics,HarperCollins,5
5,Orientalism,"Said, Edward",history,Penguin,2
6,"Nature of Statistical Learning Theory, The","Vapnik, Vladimir",data_science,Springer,3
7,Integration of the Indian States,"Menon, V P",history,Orient Blackswan,2
8,"Drunkard's Walk, The","Mlodinow, Leonard",science,Penguin,5
9,Image Processing & Mathematical Morphology,"Shih, Frank",signal_processing,CRC,3
10,How to Think Like Sherlock Holmes,"Konnikova, Maria",psychology,Penguin,2
11,Data Scientists at Work,Sebastian Gutierrez,data_science,Apress,5
12,Slaughterhouse Five,"Vonnegut, Kurt",fiction,Random House,2
13,Birth of a Theorem,"Villani, Cedric",mathematics,Bodley Head,1
14,Structure & Interpretation of Computer Programs,"Sussman, Gerald",computer_science,MIT Press,2
15,"Age of Wrath, The","Eraly, Abraham",history,Penguin,3
16,"Trial, The","Kafka, Frank",fiction,Random House,4
17,Statistical Decision Theory',"Pratt, John",data_science,MIT Press,5
18,Data Mining Handbook,"Nisbet, Robert",data_science,Apress,2
19,"New Machiavelli, The","Wells, H. G.",fiction,Penguin,1
20,Physics & Philosophy,"Heisenberg, Werner",science,Penguin,2
21,Making Software,"Oram, Andy",computer_science,O'Reilly,3
22,"Analysis, Vol I","Tao, Terence",mathematics,HBA,4
